========================================================================================================================
HTSim 详细仿真日志
转换时间: 2025-08-04 14:27:28
========================================================================================================================

【仿真配置】
--------------------------------------------------------------------------------
  瓶颈速率1 (pkt/s)       : 166 pkt/sec
  瓶颈速率2 (pkt/s)       : 400 pkt/sec
  缓冲区1 (包数)           : 301 pkt
  流数量                 : 2
  包大小                 : 1500 bytes
  往返时延 RTT (秒)        : 0.01
  目标窗口                : 30

【网络组件清单】
--------------------------------------------------------------------------------

队列组件:
  [   3] PQueue2             
  [   4] PQueue3             
  [   5] PQueue4             
  [   1] Queue1              
  [   2] Queue2              
  [   6] queue_back1         
  [   7] queue_back2         

TCP接收端:
  [  13] TCPsink             
  [   9] mptcp_sink          

TCP发送端:
  [   8] MPTCPFlow           

【完整事件时间线】
------------------------------------------------------------------------------------------------------------------------
    行号 |     时间(ms) |          组件          | 事件解释
   853 |    8180.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   854 |    8190.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   855 |    8200.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   856 |    8210.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   857 |    8220.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   858 |    8230.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   859 |    8240.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   860 |    8250.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   861 |    8260.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   862 |    8270.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   863 |    8280.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   864 |    8290.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   865 |    8300.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   866 |    8310.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   867 |    8320.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   868 |    8330.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   869 |    8340.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   870 |    8350.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   871 |    8360.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   872 |    8370.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   873 |    8380.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   874 |    8390.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   875 |    8400.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   876 |    8410.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   877 |    8420.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   878 |    8430.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   879 |    8440.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   880 |    8450.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   881 |    8460.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   882 |    8470.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   883 |    8480.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   884 |    8490.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   885 |    8500.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   886 |    8510.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   887 |    8520.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   888 |    8530.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   889 |    8540.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   890 |    8550.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   891 |    8560.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   892 |    8570.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   893 |    8580.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   894 |    8590.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   895 |    8600.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   896 |    8610.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   897 |    8620.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   898 |    8630.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   899 |    8640.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   900 |    8650.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   901 |    8660.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   902 |    8670.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   903 |    8680.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   904 |    8690.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   905 |    8700.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   906 |    8710.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   907 |    8720.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   908 |    8730.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   909 |    8740.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   910 |    8750.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   911 |    8760.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   912 |    8770.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   913 |    8780.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   914 |    8790.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   915 |    8800.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   916 |    8810.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   917 |    8820.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   918 |    8830.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   919 |    8840.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   920 |    8850.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   921 |    8860.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   922 |    8870.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   923 |    8880.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   924 |    8890.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   925 |    8900.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   926 |    8910.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   927 |    8920.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   928 |    8930.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   929 |    8940.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   930 |    8950.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   931 |    8960.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   932 |    8970.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   933 |    8980.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   934 |    8990.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   935 |    9000.00 |       TCPsink        | TCP发送 - 序列号:11, 确认号:22, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:1.0, RTT:0.00ms
   936 |    9000.00 |       TCPsink        | TCP发送 - 序列号:11, 确认号:25, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:1.0, RTT:0.00ms
   937 |    9000.00 |       TCPsink        | TCP发送 - 序列号:5, 确认号:11, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   938 |    9000.00 |       TCPsink        | TCP发送 - 序列号:5, 确认号:11, 窗口:1, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:451500.00ms
   939 |    9000.00 |       TCPsink        | TCP发送 - 序列号:4, 确认号:11, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:8.999995983936, RTT:0.00ms
   940 |    9000.00 |       TCPsink        | TCP发送 - 序列号:5, 确认号:12, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   941 |    9000.00 |       TCPsink        | TCP发送 - 序列号:5, 确认号:12, 窗口:1, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:28500.00ms
   942 |    9000.00 |       TCPsink        | TCP发送 - 序列号:4, 确认号:12, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:8.999998333334, RTT:0.00ms
   943 |    9000.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   944 |    9010.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   945 |    9020.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   946 |    9030.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   947 |    9040.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   948 |    9050.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   949 |    9060.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   950 |    9070.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   951 |    9080.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   952 |    9090.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   953 |    9100.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   954 |    9110.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   955 |    9120.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   956 |    9130.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   957 |    9140.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   958 |    9150.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   959 |    9160.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   960 |    9170.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   961 |    9180.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   962 |    9190.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   963 |    9200.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   964 |    9210.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   965 |    9220.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   966 |    9230.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   967 |    9240.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   968 |    9250.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   969 |    9260.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   970 |    9270.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   971 |    9280.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   972 |    9290.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   973 |    9300.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   974 |    9310.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   975 |    9320.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   976 |    9330.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   977 |    9340.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   978 |    9350.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   979 |    9360.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   980 |    9370.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   981 |    9380.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   982 |    9390.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   983 |    9400.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   984 |    9410.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   985 |    9420.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   986 |    9430.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   987 |    9440.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   988 |    9450.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   989 |    9460.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   990 |    9470.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   991 |    9480.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   992 |    9490.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   993 |    9500.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   994 |    9510.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   995 |    9520.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   996 |    9530.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   997 |    9540.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   998 |    9550.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   999 |    9560.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1000 |    9570.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1001 |    9580.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1002 |    9590.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1003 |    9600.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1004 |    9610.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1005 |    9620.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1006 |    9630.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1007 |    9640.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1008 |    9650.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1009 |    9660.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1010 |    9670.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1011 |    9680.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1012 |    9690.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1013 |    9700.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1014 |    9710.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
  1015 |    9720.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
