layer_name,Analytical_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,Analytical_test,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.000000,0.00,0.00,0.000000,0.00,0.00,2224.013000
embedding_layer,Analytical_test,556.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.000000,0.00,0.00,0.000000,0.00,0.00,2224.013000
SUM,Analytical_test,1112.000000,0.002000,0.002000,0.000000,0.000000,0.000000,0.000000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,1668.011000,total comp,1112.004000,total time,2780.015000
